strategy_set,N,mu,K,experiment_name,runs_to_rerun
3strats,3,0.07,70,scan_3strats_mu0.07_k70,100
4strats,3,0.07,70,scan_4strats_mu0.07_k70,100
3strats,3,0.07,80,scan_3strats_mu0.07_k80,100
4strats,3,0.07,80,scan_4strats_mu0.07_k80,100
3strats,3,0.07,90,scan_3strats_mu0.07_k90,100
4strats,3,0.07,90,scan_4strats_mu0.07_k90,100
3strats,3,0.07,100,scan_3strats_mu0.07_k100,100
4strats,3,0.07,100,scan_4strats_mu0.07_k100,100
3strats,5,0.01,10,scan_3strats_mu0.01_k10,100
4strats,5,0.01,10,scan_4strats_mu0.01_k10,100
3strats,5,0.01,20,scan_3strats_mu0.01_k20,100
4strats,5,0.01,20,scan_4strats_mu0.01_k20,100
3strats,5,0.01,30,scan_3strats_mu0.01_k30,100
4strats,5,0.01,30,scan_4strats_mu0.01_k30,100
3strats,5,0.01,40,scan_3strats_mu0.01_k40,100
4strats,5,0.01,40,scan_4strats_mu0.01_k40,100
3strats,5,0.01,50,scan_3strats_mu0.01_k50,100
4strats,5,0.01,50,scan_4strats_mu0.01_k50,100
3strats,5,0.01,60,scan_3strats_mu0.01_k60,100
4strats,5,0.01,60,scan_4strats_mu0.01_k60,100
3strats,5,0.01,70,scan_3strats_mu0.01_k70,100
4strats,5,0.01,70,scan_4strats_mu0.01_k70,100
3strats,5,0.01,80,scan_3strats_mu0.01_k80,100
4strats,5,0.01,80,scan_4strats_mu0.01_k80,100
3strats,5,0.01,90,scan_3strats_mu0.01_k90,100
4strats,5,0.01,90,scan_4strats_mu0.01_k90,100
3strats,5,0.01,100,scan_3strats_mu0.01_k100,100
4strats,5,0.01,100,scan_4strats_mu0.01_k100,100
3strats,5,0.04,10,scan_3strats_mu0.04_k10,100
4strats,5,0.04,10,scan_4strats_mu0.04_k10,100
3strats,5,0.04,20,scan_3strats_mu0.04_k20,100
4strats,5,0.04,20,scan_4strats_mu0.04_k20,100
3strats,5,0.04,30,scan_3strats_mu0.04_k30,100
4strats,5,0.04,30,scan_4strats_mu0.04_k30,100
3strats,5,0.04,40,scan_3strats_mu0.04_k40,100
4strats,5,0.04,40,scan_4strats_mu0.04_k40,100
3strats,5,0.04,50,scan_3strats_mu0.04_k50,100
4strats,5,0.04,50,scan_4strats_mu0.04_k50,100
3strats,5,0.04,60,scan_3strats_mu0.04_k60,100
4strats,5,0.04,60,scan_4strats_mu0.04_k60,100
3strats,5,0.04,70,scan_3strats_mu0.04_k70,100
4strats,5,0.04,70,scan_4strats_mu0.04_k70,100
3strats,5,0.04,80,scan_3strats_mu0.04_k80,100
4strats,5,0.04,80,scan_4strats_mu0.04_k80,100
3strats,5,0.04,90,scan_3strats_mu0.04_k90,100
4strats,5,0.04,90,scan_4strats_mu0.04_k90,100
3strats,5,0.04,100,scan_3strats_mu0.04_k100,100
4strats,5,0.04,100,scan_4strats_mu0.04_k100,100
3strats,5,0.07,10,scan_3strats_mu0.07_k10,100
4strats,5,0.07,10,scan_4strats_mu0.07_k10,100
3strats,5,0.07,20,scan_3strats_mu0.07_k20,100
4strats,5,0.07,20,scan_4strats_mu0.07_k20,100
3strats,5,0.07,30,scan_3strats_mu0.07_k30,100
4strats,5,0.07,30,scan_4strats_mu0.07_k30,100
3strats,5,0.07,40,scan_3strats_mu0.07_k40,100
4strats,5,0.07,40,scan_4strats_mu0.07_k40,100
3strats,5,0.07,50,scan_3strats_mu0.07_k50,100
4strats,5,0.07,50,scan_4strats_mu0.07_k50,100
3strats,5,0.07,60,scan_3strats_mu0.07_k60,100
4strats,5,0.07,60,scan_4strats_mu0.07_k60,100
3strats,5,0.07,70,scan_3strats_mu0.07_k70,100
4strats,5,0.07,70,scan_4strats_mu0.07_k70,100
3strats,5,0.07,80,scan_3strats_mu0.07_k80,100
4strats,5,0.07,80,scan_4strats_mu0.07_k80,100
3strats,5,0.07,90,scan_3strats_mu0.07_k90,100
4strats,5,0.07,90,scan_4strats_mu0.07_k90,100
3strats,5,0.07,100,scan_3strats_mu0.07_k100,100
4strats,5,0.07,100,scan_4strats_mu0.07_k100,100
3strats,7,0.01,10,scan_3strats_mu0.01_k10,100
4strats,7,0.01,10,scan_4strats_mu0.01_k10,100
3strats,7,0.01,20,scan_3strats_mu0.01_k20,100
4strats,7,0.01,20,scan_4strats_mu0.01_k20,100
3strats,7,0.01,30,scan_3strats_mu0.01_k30,100
4strats,7,0.01,30,scan_4strats_mu0.01_k30,100
3strats,7,0.01,40,scan_3strats_mu0.01_k40,100
4strats,7,0.01,40,scan_4strats_mu0.01_k40,100
3strats,7,0.01,50,scan_3strats_mu0.01_k50,100
4strats,7,0.01,50,scan_4strats_mu0.01_k50,100
3strats,7,0.01,60,scan_3strats_mu0.01_k60,100
4strats,7,0.01,60,scan_4strats_mu0.01_k60,100
3strats,7,0.01,70,scan_3strats_mu0.01_k70,100
4strats,7,0.01,70,scan_4strats_mu0.01_k70,100
3strats,7,0.01,80,scan_3strats_mu0.01_k80,100
4strats,7,0.01,80,scan_4strats_mu0.01_k80,100
3strats,7,0.01,90,scan_3strats_mu0.01_k90,100
4strats,7,0.01,90,scan_4strats_mu0.01_k90,100
3strats,7,0.01,100,scan_3strats_mu0.01_k100,100
4strats,7,0.01,100,scan_4strats_mu0.01_k100,100
3strats,7,0.04,10,scan_3strats_mu0.04_k10,100
4strats,7,0.04,10,scan_4strats_mu0.04_k10,100
3strats,7,0.04,20,scan_3strats_mu0.04_k20,100
4strats,7,0.04,20,scan_4strats_mu0.04_k20,100
3strats,7,0.04,30,scan_3strats_mu0.04_k30,100
4strats,7,0.04,30,scan_4strats_mu0.04_k30,100
3strats,7,0.04,40,scan_3strats_mu0.04_k40,100
4strats,7,0.04,40,scan_4strats_mu0.04_k40,100
3strats,7,0.04,50,scan_3strats_mu0.04_k50,100
4strats,7,0.04,50,scan_4strats_mu0.04_k50,100
3strats,7,0.04,60,scan_3strats_mu0.04_k60,100
4strats,7,0.04,60,scan_4strats_mu0.04_k60,100
3strats,7,0.04,70,scan_3strats_mu0.04_k70,100
4strats,7,0.04,70,scan_4strats_mu0.04_k70,100
3strats,7,0.04,80,scan_3strats_mu0.04_k80,100
4strats,7,0.04,80,scan_4strats_mu0.04_k80,100
3strats,7,0.04,90,scan_3strats_mu0.04_k90,100
4strats,7,0.04,90,scan_4strats_mu0.04_k90,100
3strats,7,0.04,100,scan_3strats_mu0.04_k100,100
4strats,7,0.04,100,scan_4strats_mu0.04_k100,100
3strats,7,0.07,10,scan_3strats_mu0.07_k10,100
4strats,7,0.07,10,scan_4strats_mu0.07_k10,100
3strats,7,0.07,20,scan_3strats_mu0.07_k20,100
4strats,7,0.07,20,scan_4strats_mu0.07_k20,100
3strats,7,0.07,30,scan_3strats_mu0.07_k30,100
4strats,7,0.07,30,scan_4strats_mu0.07_k30,100
3strats,7,0.07,40,scan_3strats_mu0.07_k40,100
4strats,7,0.07,40,scan_4strats_mu0.07_k40,100
3strats,7,0.07,50,scan_3strats_mu0.07_k50,100
4strats,7,0.07,50,scan_4strats_mu0.07_k50,100
3strats,7,0.07,60,scan_3strats_mu0.07_k60,100
4strats,7,0.07,60,scan_4strats_mu0.07_k60,100
3strats,7,0.07,70,scan_3strats_mu0.07_k70,100
4strats,7,0.07,70,scan_4strats_mu0.07_k70,100
3strats,7,0.07,80,scan_3strats_mu0.07_k80,100
4strats,7,0.07,80,scan_4strats_mu0.07_k80,100
3strats,7,0.07,90,scan_3strats_mu0.07_k90,100
4strats,7,0.07,90,scan_4strats_mu0.07_k90,100
3strats,7,0.07,100,scan_3strats_mu0.07_k100,100
4strats,7,0.07,100,scan_4strats_mu0.07_k100,100
3strats,7,0.1,10,scan_3strats_mu0.1_k10,100
4strats,7,0.1,10,scan_4strats_mu0.1_k10,100
3strats,7,0.1,20,scan_3strats_mu0.1_k20,100
4strats,7,0.1,20,scan_4strats_mu0.1_k20,100
3strats,7,0.1,30,scan_3strats_mu0.1_k30,100
4strats,7,0.1,30,scan_4strats_mu0.1_k30,100
3strats,7,0.1,40,scan_3strats_mu0.1_k40,100
4strats,7,0.1,40,scan_4strats_mu0.1_k40,100
3strats,7,0.1,50,scan_3strats_mu0.1_k50,100
4strats,7,0.1,50,scan_4strats_mu0.1_k50,100
3strats,7,0.1,60,scan_3strats_mu0.1_k60,100
4strats,7,0.1,60,scan_4strats_mu0.1_k60,100
3strats,7,0.1,70,scan_3strats_mu0.1_k70,100
4strats,7,0.1,70,scan_4strats_mu0.1_k70,100
3strats,7,0.1,80,scan_3strats_mu0.1_k80,100
4strats,7,0.1,80,scan_4strats_mu0.1_k80,100
3strats,7,0.1,90,scan_3strats_mu0.1_k90,100
4strats,7,0.1,90,scan_4strats_mu0.1_k90,100
3strats,7,0.1,100,scan_3strats_mu0.1_k100,100
4strats,7,0.1,100,scan_4strats_mu0.1_k100,100
3strats,10,0.01,10,scan_3strats_mu0.01_k10,100
4strats,10,0.01,10,scan_4strats_mu0.01_k10,100
3strats,10,0.01,20,scan_3strats_mu0.01_k20,100
4strats,10,0.01,20,scan_4strats_mu0.01_k20,100
3strats,10,0.01,30,scan_3strats_mu0.01_k30,100
4strats,10,0.01,30,scan_4strats_mu0.01_k30,100
3strats,10,0.01,40,scan_3strats_mu0.01_k40,100
4strats,10,0.01,40,scan_4strats_mu0.01_k40,100
3strats,10,0.01,50,scan_3strats_mu0.01_k50,100
4strats,10,0.01,50,scan_4strats_mu0.01_k50,100
3strats,10,0.01,60,scan_3strats_mu0.01_k60,100
4strats,10,0.01,60,scan_4strats_mu0.01_k60,100
3strats,10,0.01,70,scan_3strats_mu0.01_k70,100
4strats,10,0.01,70,scan_4strats_mu0.01_k70,100
3strats,10,0.01,80,scan_3strats_mu0.01_k80,100
4strats,10,0.01,80,scan_4strats_mu0.01_k80,100
3strats,10,0.01,90,scan_3strats_mu0.01_k90,100
4strats,10,0.01,90,scan_4strats_mu0.01_k90,100
3strats,10,0.01,100,scan_3strats_mu0.01_k100,100
4strats,10,0.01,100,scan_4strats_mu0.01_k100,100
